date,invoice_id,gross_cad,gst_hst_cad,net_cad,remitted,notes
2024-01-15,INV-001,9.99,1.30,8.69,no,Starter subscription - Monthly
2024-01-15,INV-002,19.99,2.60,17.39,no,Pro subscription - Monthly
2024-01-20,INV-003,99.00,12.87,86.13,no,Starter subscription - Annual
2024-02-15,INV-004,9.99,1.30,8.69,no,Starter subscription - Monthly
2024-02-15,INV-005,19.99,2.60,17.39,no,Pro subscription - Monthly
2024-03-15,INV-006,9.99,1.30,8.69,no,Starter subscription - Monthly
2024-03-15,INV-007,19.99,2.60,17.39,no,Pro subscription - Monthly
2024-03-31,INV-008,199.00,25.87,173.13,no,Pro subscription - Annual
2024-04-15,INV-009,9.99,1.30,8.69,no,Starter subscription - Monthly
2024-04-15,INV-010,19.99,2.60,17.39,no,Pro subscription - Monthly
